Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
31-12-2024,,57,36,0,0,0
01-01-2025,,54,36,0.72,0,0
02-01-2025,,50,36,0,0,0
03-01-2025,,42,32,0,0,0
04-01-2025,,39,28,0,0,0
05-01-2025,,37,26,0,0,0
06-01-2025,,33,27,0,0,0
07-01-2025,,30,18,0.05,0.7,0
08-01-2025,,30,22,0,0,0
09-01-2025,,29,21,0,0,0
10-01-2025,,31,22,0,0,0
11-01-2025,,39,27,0.05,0.7,1
12-01-2025,,35,27,0,0,0
13-01-2025,,42,30,0,0,0
14-01-2025,,42,27,0,0,0
15-01-2025,,34,21,0,0,0
16-01-2025,,32,22,0,0,0
17-01-2025,,32,22,0,0,0
18-01-2025,,42,24,0,0,0
19-01-2025,,45,34,0.04,0,0
20-01-2025,,39,16,0.32,3,3
21-01-2025,,26,9,0,0,3
22-01-2025,,19,9,0,0,3
23-01-2025,,21,9,0,0,3
24-01-2025,,29,15,0,0,2
25-01-2025,,32,17,0,0,1
26-01-2025,,31,20,0,0,1
27-01-2025,,42,28,0,0,1
28-01-2025,,40,29,0,0,0
29-01-2025,,41,33,0,0,0
30-01-2025,,52,24,0,0,0
31-01-2025,,36,24,0.02,0,0
01-02-2025,,46,36,0.15,0,0
